Name,Movie,Year,Cause of Death
Joseph Cotten,Shadow of a Doubt,1943,Impact
Joseph Cotten,Niagara,1953,Drowning
Joseph Cotten,The Last Sunset,1961,Firearms
Joseph Cotten,"Hush...Hush, Sweet Charlotte",1964,Impact
Joseph Cotten,The Money Trap,1965,Firearms
Joseph Cotten,Hellbenders,1967,Firearms
Joseph Cotten,Lady Frankenstein,1971,Impact
Joseph Cotten,The Torture Chamber of Baron Blood,1972,Other
Joseph Cotten,Soylent Green,1973,Blunt Objects
Joseph Cotten,Syndicate Sadists,1975,Firearms
Joseph Cotten,The Perfect Crime,1978,Other
Joseph Cotten,Screamers,1979,Firearms
Joseph Cotten,The Hearse,1980,Strangulation
Bryan Cranston,Dead Space,1991,Knives or Cutting Instruments
Bryan Cranston,Terror Tract,2000,Firearms
Bryan Cranston,Drive,2011,Knives or Cutting Instruments
Bryan Cranston,John Carter,2012,Other
Bryan Cranston,Total Recall,2012,Explosives
Bryan Cranston,Cold Comes the Night,2013,Firearms
Bryan Cranston,Godzilla,2014,Other
Bryan Cranston,Trumbo,2015,Ailment
Bryan Cranston,All the Way,2016,Ailment
Bryan Cranston,Power Rangers,2017,Explosives
Janet Margolin,Morituri,1965,Firearms
Janet Margolin,Last Embrace,1979,Impact
Colin Farrell,Ordinary Decent Criminal,2000,Firearms
Colin Farrell,Minority Report,2002,Firearms
Colin Farrell,Intermission,2003,Firearms
Colin Farrell,Alexander,2004,Other
Colin Farrell,Cassandras Dream,2007,Drowning
Colin Farrell,In Bruges,2008,Firearms
Colin Farrell,Pride and Glory,2008,Blunt Objects
Colin Farrell,The Imaginarium of Dr. Parnassus,2009,Strangulation
Colin Farrell,London Boulevard,2010,Knives or Cutting Instruments
Colin Farrell,Fright Night,2011,Explosives
Colin Farrell,Horrible Bosses,2011,Firearms
Colin Farrell,Saving Mr. Banks,2013,Other
Colin Farrell,Winters Tale,2014,Other
Colin Farrell,Solace,2015,Firearms
Colin Farrell,The Beguiled,2017,Poison
Colin Farrell,Ava,2020,Firearms
Colin Farrell,Voyagers,2021,Other
Rhona Mitra,Get Carter,2000,Narcotics
Rhona Mitra,The Number 23,2007,Knives or Cutting Instruments
Rhona Mitra,Underworld: Rise of the Lycans,2009,Fire
Rhona Mitra,Hard Target 2,2016,Knives or Cutting Instruments
Rhona Mitra,"Game Over, Man!",2018,Knives or Cutting Instruments
Heath Ledger,The Patriot,2000,Knives or Cutting Instruments
Heath Ledger,Monsters Ball,2001,Firearms
Heath Ledger,Ned Kelly,2003,Strangulation
Heath Ledger,The Dark Knight,2008,Other
Heath Ledger,The Imaginarium of Dr. Parnassus,2009,Strangulation
Robin Williams,The World According to Garp,1982,Firearms
Robin Williams,The Adventures of Baron Munchausen,1988,Other
Robin Williams,The Secret Agent,1996,Explosives
Robin Williams,Hamlet,1996,Knives or Cutting Instruments
Robin Williams,What Dreams May Come,1998,Car
Robin Williams,Bicentennial Man,1999,Ailment
Robin Williams,Jakob the Liar,1999,Firearms
Robin Williams,Insomnia,2002,Firearms
Robin Williams,The Final Cut,2004,Knives or Cutting Instruments
Robin Williams,Lee Daniels The Butler,2013,Other
Robin Williams,The Angriest Man in Brooklyn,2014,Other
Jean-Claude Van Damme,Black Eagle,1988,Knives or Cutting Instruments
Jean-Claude Van Damme,Kickboxer 2,1991,Other
Jean-Claude Van Damme,Universal Soldier,1992,Firearms
Jean-Claude Van Damme,Maximum Risk,1996,Impact
Jean-Claude Van Damme,The Order,2001,Knives or Cutting Instruments
Jean-Claude Van Damme,Replicant,2001,Firearms
Jean-Claude Van Damme,Until Death,2007,Firearms
Jean-Claude Van Damme,The Expendables 2,2012,Knives or Cutting Instruments
Jean-Claude Van Damme,Universal Soldier: Day of Reckoning,2012,Knives or Cutting Instruments
Jean-Claude Van Damme,Enemies Closer,2013,Explosives
Jean-Claude Van Damme,Swelter,2014,Knives or Cutting Instruments
Jean-Claude Van Damme,Pound of Flesh,2015,Knives or Cutting Instruments
Channing Tatum,Public Enemies,2009,Firearms
Channing Tatum,Haywire,2011,Firearms
Channing Tatum,Side Effects,2013,Knives or Cutting Instruments
